org_code,period,org_name,financial_year,fy_quarter,kh03_avail_all_avg_beds,kh03_occ_all_avg_beds,kh03_occ_all_rate,kh03_avail_ga_avg_beds,kh03_occ_ga_avg_beds,kh03_occ_ga_rate,kh03_avail_mat_avg_beds,kh03_occ_mat_avg_beds,kh03_avail_acute_avg_beds,kh03_occ_acute_avg_beds,kh03_occ_acute_rate,kh03_occ_adult_ga_rate,ae_type1_attendances,ae_waits_12hr_decision_to_admit,ae_type1_pct_4hr,canc_cancelled_ops,canc_breaches_28d,canc_pct_not_treated_28_days,uec_financial_year,uec_fy_quarter,uec_uec_nctr_mean,uec_uec_nctr_max,uec_uec_days
RXG,2018-19 Q1,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,2018-19,Q1,5.2,4.5,0.8653846153846153,28.0,21.34065934065934,0.7621664050235478,0.0,0.0,28.0,21.34065934065934,0.7621664050235478,0.7621664050235478,0.0,0.0,,,,,,,,,
RXL,2018-19 Q1,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2018-19,Q1,7.7,7.0,0.9090909090909091,659.0,616.054945054945,0.934832997048475,37.582417582417584,20.89010989010989,696.5824175824176,636.945054945055,0.9143857767120478,0.934832997048475,19681.0,36.0,0.575834561251969,228.0,8.0,0.0350877192982456,,,,,
RXN,2018-19 Q1,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,2018-19,Q1,9.4,8.8,0.9361702127659575,791.2087912087912,759.0439560439561,0.9593472222222222,62.0,39.57142857142857,853.2087912087912,798.6153846153846,0.9360140130341825,0.9593472222222222,18661.0,27.0,0.6772413053962809,270.0,121.0,0.4481481481481481,,,,,
RXP,2018-19 Q1,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,2018-19,Q1,10.6,8.6,0.8113207547169812,892.4945054945055,746.6593406593406,0.8365982491350333,69.0,35.18681318681319,961.4945054945055,781.8461538461538,0.8131571728993325,0.8365982491350333,33376.0,0.0,0.8541466922339406,97.0,6.0,0.0618556701030927,,,,,
RXR,2018-19 Q1,EAST LANCASHIRE HOSPITALS NHS TRUST,2018-19,Q1,10.9,9.2,0.8440366972477064,912.4175824175824,796.7802197802198,0.8732626761411538,75.84615384615384,38.02197802197802,988.2637362637362,834.8021978021978,0.8447160076502247,0.8732626761411538,27989.0,55.0,0.7359319732752152,172.0,1.0,0.005813953488372,,,,,
RY6,2018-19 Q1,LEEDS COMMUNITY HEALTHCARE NHS TRUST,2018-19,Q1,0.1,0.1,1.0,3.4615384615384617,3.274725274725274,0.9460317460317459,0.0,0.0,3.4615384615384617,3.274725274725274,0.9460317460317459,0.9460317460317459,,,,,,,,,,,
TAD,2018-19 Q1,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,2018-19,Q1,2.3,2.1,0.9130434782608696,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
TAH,2018-19 Q1,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,2018-19,Q1,1.7,1.6,0.9411764705882354,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
R1A,2018-19 Q1,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,2018-19,Q1,1.7,1.6,0.9411764705882354,37.0,34.0,0.918918918918919,0.0,0.0,37.0,34.0,0.918918918918919,0.918918918918919,,,,,,,,,,,
R1L,2018-19 Q1,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,2018-19,Q1,7.5,7.2,0.9600000000000001,85.0,77.8021978021978,0.9153199741435035,0.0,0.0,85.0,77.8021978021978,0.9153199741435035,0.9153199741435035,,,,,,,,,,,
RAJ,2018-19 Q1,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2018-19,Q1,6.3,5.3,0.8412698412698413,543.6263736263736,471.8901098901099,0.8680412371134021,31.0,13.75824175824176,574.6263736263736,485.64835164835165,0.8451549979920063,0.8680412371134021,22277.0,0.0,0.9229698792476546,73.0,3.0,0.0410958904109589,,,,,
RBK,2018-19 Q1,WALSALL HEALTHCARE NHS TRUST,2018-19,Q1,5.3,4.5,0.8490566037735849,447.7802197802198,395.5934065934066,0.8834544026700697,31.07692307692308,14.56043956043956,478.8571428571429,410.15384615384613,0.856526528364237,0.8834544026700697,19535.0,0.0,0.7599180957256207,13.0,0.0,0.0,,,,,
RC1,2018-19 Q1,BEDFORD HOSPITAL NHS TRUST,2018-19,Q1,4.6,4.5,0.9782608695652175,393.9120879120879,393.7802197802198,0.999665234614741,22.64835164835165,20.1978021978022,416.56043956043953,413.978021978022,0.993800617300235,0.999665234614741,19884.0,0.0,0.9090223295111648,89.0,13.0,0.146067415730337,,,,,
RC9,2018-19 Q1,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2018-19,Q1,7.8,6.9,0.8846153846153847,632.3626373626373,576.5384615384615,0.9117212616213399,80.65934065934066,52.86813186813187,713.0219780219779,629.4065934065934,0.8827309855898899,0.9117212616213399,26562.0,0.0,0.9794819667193736,132.0,1.0,0.0075757575757575,,,,,
RCX,2018-19 Q1,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",2018-19,Q1,5.3,4.7,0.8867924528301887,456.2307692307692,409.0879120879121,0.8966688344533565,25.0,18.967032967032967,481.2307692307692,428.0549450549451,0.8895003653635368,0.8966688344533565,17021.0,0.0,0.8532401151518713,120.0,24.0,0.2,,,,,
RD8,2018-19 Q1,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2018-19,Q1,5.9,5.2,0.8813559322033898,483.0,433.7802197802198,0.8980956931267491,53.0,37.63736263736264,536.0,471.4175824175824,0.8795104149581762,0.8980956931267491,22124.0,0.0,0.9020520701500632,64.0,32.0,0.5,,,,,
RDD,2018-19 Q1,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2018-19,Q1,7.8,7.5,0.9615384615384616,656.0,644.4615384615385,0.9824108818011257,55.0,33.934065934065934,711.0,678.3956043956044,0.9541429035099922,0.9824108818011257,38396.0,0.0,0.9044431711636628,95.0,1.0,0.0105263157894736,,,,,
RDE,2018-19 Q1,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2018-19,Q1,6.7,5.9,0.8805970149253731,573.1648351648352,522.7252747252747,0.9119981594386288,34.065934065934066,15.923076923076923,607.2307692307692,538.6483516483516,0.8870570777082052,0.9119981594386288,25006.0,0.0,0.9507318243621532,96.0,5.0,0.0520833333333333,,,,,
RFS,2018-19 Q1,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,2018-19,Q1,5.6,4.5,0.8035714285714286,474.72527472527474,391.8021978021978,0.825324074074074,31.0,17.52747252747253,505.72527472527474,409.3296703296703,0.8093913648117164,0.825324074074074,17151.0,0.0,0.9421025013118768,84.0,8.0,0.0952380952380952,,,,,
RGM,2018-19 Q1,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,2018-19,Q1,2.5,1.9,0.76,224.21978021978023,172.34065934065933,0.768623799255048,0.0,0.0,224.21978021978023,172.34065934065933,0.768623799255048,0.768623799255048,,,,114.0,1.0,0.0087719298245614,,,,,
RGN,2018-19 Q1,NORTH WEST ANGLIA NHS FOUNDATION TRUST,2018-19,Q1,9.9,8.0,0.8080808080808081,794.6263736263736,684.7142857142857,0.8616807954529739,104.0,45.12087912087912,898.6263736263736,729.8351648351647,0.8121675328645673,0.8616807954529739,36810.0,0.0,0.8451507742461287,201.0,30.0,0.1492537313432835,,,,,
RGP,2018-19 Q1,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2018-19,Q1,5.2,4.1,0.7884615384615383,434.2417582417583,355.1758241758242,0.8179218544387082,41.89010989010989,17.76923076923077,476.1318681318682,372.94505494505495,0.7832810192023633,0.8179218544387082,17219.0,0.0,0.901968755444567,70.0,0.0,0.0,,,,,
RGQ,2018-19 Q1,IPSWICH HOSPITAL NHS TRUST,2018-19,Q1,7.6,6.9,0.9078947368421053,649.1978021978022,601.9010989010989,0.927145928195406,38.0,26.582417582417584,687.1978021978022,628.4835164835165,0.9145598464859679,0.927145928195406,21648.0,0.0,0.8878418329637842,,,,,,,,
